,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,num_voxels,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
53,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext,NA,3.8502153637441325,0.32044029516895506,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
54,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,2.4689771162342264,0.325035913883642,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
55,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,3.8502153637441325,0.34780177364827397,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
56,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR,NA,2.4778182433833624,0.2949034294017501,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
57,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR,NA,3.789692568323453,0.31926459367188254,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
58,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP,NA,2.4778182433833624,0.33021378785179656,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
59,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP,NA,3.789692568323453,0.34000711893618646,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
60,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext,NA,2.4778182433833624,0.29639879207695013,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
61,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext,NA,3.789692568323453,0.32044029516895506,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
62,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,L,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,2.4778182433833624,0.325035913883642,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
63,sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,R,MT,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,3.789692568323453,0.34780177364827397,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
64,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR,NA,1.935021737686106,0.25884910519478305,0.07595742042581244,91.0,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
65,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR,NA,0.44372329487669554,0.17964830799585482,0.20004769553167698,14.333333333333334,0.11466666666666665,4.964379953151082,"12,23,13","3,1,2"
66,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR,NA,1.747921934868586,0.23662662565136885,0.07361085697155628,209.0,0.6966666666666667,4.858594898194185,"12,23,13","3,1,2"
67,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR,NA,1.0938137379845478,0.23927350350891033,0.06883366068682555,110.66666666666667,0.8853333333333334,4.964379953151082,"12,23,13","3,1,2"
68,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP,NA,1.935021737686106,0.27312355305706415,0.07595742042581244,91.0,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
69,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP,NA,0.44372329487669554,0.18403317272249195,0.20004769553167698,14.333333333333334,0.11466666666666665,4.964379953151082,"12,23,13","3,1,2"
70,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP,NA,1.747921934868586,0.2520006360541088,0.07361085697155628,209.0,0.6966666666666667,4.858594898194185,"12,23,13","3,1,2"
71,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP,NA,1.0938137379845478,0.25188010571092545,0.06883366068682555,110.66666666666667,0.8853333333333334,4.964379953151082,"12,23,13","3,1,2"
72,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext,NA,1.935021737686106,0.312979603532755,0.07595742042581244,91.0,0.3033333333333333,4.858594898194185,"12,23,13","3,1,2"
73,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext,NA,0.44372329487669554,0.27372335612407733,0.20004769553167698,14.333333333333334,0.11466666666666665,4.964379953151082,"12,23,13","3,1,2"
74,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext,NA,1.747921934868586,0.27197363394876023,0.07361085697155628,209.0,0.6966666666666667,4.858594898194185,"12,23,13","3,1,2"
75,sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext,NA,1.0938137379845478,0.2882735116065754,0.06883366068682555,110.66666666666667,0.8853333333333334,4.964379953151082,"12,23,13","3,1,2"
